airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
SFO,2017-09-01,4,244,113,0.0,10,1009,0,53,7,80,80,39,0
SFO,2017-09-01,4,180,113,0.0,10,1009,0,51,9,80,80,46,100
SFO,2017-09-01,5,115,113,0.0,10,1009,0,50,10,79,79,53,200
SFO,2017-09-01,6,51,113,0.0,10,1009,0,48,12,79,79,59,300
SFO,2017-09-01,6,51,113,0.0,10,1009,0,47,13,78,78,57,400
SFO,2017-09-01,6,50,113,0.0,10,1009,0,46,13,78,78,54,500
SFO,2017-09-01,7,49,113,0.0,10,1009,0,44,14,78,78,52,600
SFO,2017-09-01,7,49,113,0.0,10,1009,0,44,15,79,79,48,700
SFO,2017-09-01,8,48,113,0.0,10,1009,0,43,16,79,79,44,800
SFO,2017-09-01,8,48,113,0.0,10,1009,0,43,17,80,80,40,900
SFO,2017-09-01,8,79,113,0.0,10,1009,0,44,17,84,84,35,1000
SFO,2017-09-01,8,109,113,0.0,10,1009,0,46,16,87,87,30,1100
SFO,2017-09-01,8,140,113,0.0,10,1009,0,47,16,90,90,25,1200
SFO,2017-09-01,8,200,113,0.0,10,1008,0,48,16,92,92,25,1300
SFO,2017-09-01,9,261,113,0.0,10,1008,0,49,17,93,93,25,1400
SFO,2017-09-01,9,321,113,0.0,10,1008,0,51,18,95,95,25,1500
SFO,2017-09-01,11,309,113,0.0,10,1008,0,50,21,93,93,30,1600
SFO,2017-09-01,12,296,113,0.0,10,1008,0,49,25,91,91,35,1700
SFO,2017-09-01,14,284,113,0.0,10,1008,0,48,29,89,89,39,1800
SFO,2017-09-01,12,282,113,0.0,10,1008,0,48,25,87,87,44,1900
SFO,2017-09-01,10,281,113,0.0,10,1009,0,48,20,85,85,48,2000
SFO,2017-09-01,8,279,113,0.0,10,1009,0,49,15,83,83,52,2100
SFO,2017-09-01,6,271,113,0.0,10,1009,0,49,13,82,82,52,2200
SFO,2017-09-01,5,264,113,0.0,10,1009,0,50,11,81,81,51,2300
SFO,2017-09-02,4,256,113,0.0,10,1009,0,51,9,80,80,51,0
SFO,2017-09-02,4,260,113,0.0,10,1009,0,52,8,78,78,51,100
SFO,2017-09-02,4,264,113,0.0,10,1009,1,54,8,76,76,52,200
SFO,2017-09-02,4,268,113,0.0,10,1009,1,55,7,74,74,52,300
SFO,2017-09-02,3,258,113,0.0,10,1008,2,55,7,73,73,53,400
SFO,2017-09-02,3,248,113,0.0,10,1008,3,54,6,72,72,54,500
SFO,2017-09-02,3,239,113,0.0,10,1008,5,53,5,71,70,55,600
SFO,2017-09-02,4,175,113,0.0,10,1009,5,54,8,74,73,52,700
SFO,2017-09-02,5,111,113,0.0,10,1009,5,55,11,78,75,50,800
SFO,2017-09-02,6,47,113,0.0,10,1009,5,56,13,81,78,48,900
SFO,2017-09-02,6,76,113,0.0,10,1009,4,56,14,86,83,42,1000
SFO,2017-09-02,7,106,113,0.0,10,1009,4,57,15,90,87,37,1100
SFO,2017-09-02,7,135,113,0.0,10,1009,3,58,15,95,92,32,1200
SFO,2017-09-02,8,194,113,0.0,10,1009,2,58,17,96,93,31,1300
SFO,2017-09-02,9,252,113,0.0,10,1009,1,59,18,97,95,31,1400
SFO,2017-09-02,10,311,113,0.0,10,1008,0,60,20,98,96,30,1500
SFO,2017-09-02,11,304,113,0.0,10,1008,0,60,22,96,94,32,1600
SFO,2017-09-02,12,298,113,0.0,10,1008,0,60,25,94,92,35,1700
SFO,2017-09-02,14,291,113,0.0,10,1008,0,61,27,92,91,38,1800
SFO,2017-09-02,12,292,113,0.0,10,1009,0,62,23,90,89,42,1900
SFO,2017-09-02,10,293,113,0.0,10,1009,0,63,19,88,87,46,2000
SFO,2017-09-02,8,295,113,0.0,10,1009,0,65,15,86,86,50,2100
SFO,2017-09-02,6,288,113,0.0,10,1009,0,65,13,85,85,51,2200
SFO,2017-09-02,5,282,113,0.0,10,1010,0,65,10,85,85,52,2300
