airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
LAS,2017-09-01,15,334,113,0.1,10,1011,0,45,27,88,88,22,0
LAS,2017-09-01,15,338,113,0.1,10,1011,0,44,26,88,88,26,100
LAS,2017-09-01,14,342,113,0.0,10,1011,1,44,25,87,87,29,200
LAS,2017-09-01,13,347,113,0.0,10,1011,1,43,24,86,86,33,300
LAS,2017-09-01,13,308,113,0.0,10,1011,1,43,23,86,86,33,400
LAS,2017-09-01,12,270,113,0.0,10,1012,0,43,22,85,85,33,500
LAS,2017-09-01,12,231,113,0.0,10,1012,0,43,21,85,85,33,600
LAS,2017-09-01,13,157,113,0.0,10,1012,0,43,20,86,86,31,700
LAS,2017-09-01,13,83,113,0.0,10,1012,0,42,20,87,87,28,800
LAS,2017-09-01,14,9,113,0.0,10,1012,0,42,19,89,89,26,900
LAS,2017-09-01,15,14,113,0.0,10,1012,0,41,19,90,90,23,1000
LAS,2017-09-01,16,20,113,0.0,10,1011,0,40,19,92,92,20,1100
LAS,2017-09-01,17,25,113,0.0,10,1011,0,39,20,94,94,17,1200
LAS,2017-09-01,17,26,113,0.0,10,1010,0,38,20,95,95,16,1300
LAS,2017-09-01,17,27,113,0.0,10,1010,0,37,20,96,96,14,1400
LAS,2017-09-01,17,29,113,0.0,10,1009,0,35,20,96,96,13,1500
LAS,2017-09-01,16,63,113,0.0,10,1009,0,36,19,96,96,13,1600
LAS,2017-09-01,15,98,113,0.0,10,1008,0,36,19,96,96,13,1700
LAS,2017-09-01,14,133,113,0.0,10,1008,1,37,19,96,96,14,1800
LAS,2017-09-01,13,200,113,0.0,10,1008,1,38,20,94,94,15,1900
LAS,2017-09-01,13,266,113,0.0,10,1009,1,40,21,93,93,17,2000
LAS,2017-09-01,12,333,113,0.0,10,1009,1,41,22,92,92,19,2100
LAS,2017-09-01,12,330,113,0.0,10,1009,1,41,23,91,91,20,2200
LAS,2017-09-01,12,327,113,0.0,10,1010,1,41,24,90,90,21,2300
LAS,2017-09-02,13,324,113,0.0,10,1010,0,41,25,89,89,23,0
LAS,2017-09-02,12,329,113,0.0,10,1010,0,41,24,86,86,23,100
LAS,2017-09-02,11,335,113,0.0,10,1010,1,40,23,82,82,24,200
LAS,2017-09-02,10,341,113,0.0,10,1010,1,40,21,79,79,25,300
LAS,2017-09-02,10,307,113,0.0,10,1011,0,40,21,79,78,25,400
LAS,2017-09-02,11,274,113,0.0,10,1011,0,40,21,79,78,25,500
LAS,2017-09-02,11,240,113,0.0,10,1011,0,40,21,79,78,25,600
LAS,2017-09-02,12,173,113,0.0,10,1012,0,40,20,83,81,24,700
LAS,2017-09-02,12,105,113,0.0,10,1012,0,41,19,87,84,22,800
LAS,2017-09-02,13,38,113,0.0,10,1012,0,42,18,91,88,21,900
LAS,2017-09-02,12,60,113,0.0,10,1012,0,43,16,94,91,19,1000
LAS,2017-09-02,11,82,113,0.0,10,1012,0,43,14,97,94,18,1100
LAS,2017-09-02,10,104,113,0.0,10,1012,0,44,12,100,97,16,1200
LAS,2017-09-02,9,110,113,0.0,10,1012,0,44,10,101,99,16,1300
LAS,2017-09-02,8,116,113,0.0,10,1011,0,45,9,102,100,15,1400
LAS,2017-09-02,7,122,113,0.0,10,1011,0,46,8,103,102,15,1500
LAS,2017-09-02,6,124,113,0.0,10,1011,0,46,7,103,102,15,1600
LAS,2017-09-02,5,127,113,0.0,10,1010,0,46,6,103,102,16,1700
LAS,2017-09-02,5,129,113,0.0,10,1010,0,47,5,103,101,16,1800
LAS,2017-09-02,4,140,113,0.0,10,1011,0,47,5,101,100,17,1900
LAS,2017-09-02,3,150,113,0.0,10,1011,0,47,4,99,99,18,2000
LAS,2017-09-02,2,161,113,0.0,10,1011,0,47,3,98,98,18,2100
LAS,2017-09-02,3,185,113,0.0,10,1012,10,48,5,95,95,21,2200
LAS,2017-09-02,5,208,200,0.0,10,1013,20,48,6,92,92,23,2300
LAS,2017-09-03,6,232,200,0.0,10,1013,30,49,8,89,89,25,0
LAS,2017-09-03,7,228,200,0.0,10,1013,45,48,9,86,86,27,100
LAS,2017-09-03,7,225,200,0.0,10,1013,60,47,10,82,82,29,200
LAS,2017-09-03,8,221,200,0.0,10,1014,75,46,10,79,79,31,300
LAS,2017-09-03,6,163,200,0.0,10,1014,60,47,8,80,80,32,400
LAS,2017-09-03,5,105,113,0.0,10,1014,45,49,6,80,80,34,500
LAS,2017-09-03,3,46,113,0.0,10,1015,30,50,4,81,80,35,600
LAS,2017-09-03,3,52,113,0.0,10,1015,25,52,4,85,83,34,700
LAS,2017-09-03,3,58,200,0.0,10,1015,21,54,4,88,85,34,800
LAS,2017-09-03,3,64,200,0.0,10,1016,16,55,4,91,88,33,900
LAS,2017-09-03,4,62,200,0.0,10,1016,31,56,4,93,89,33,1000
LAS,2017-09-03,4,60,200,0.0,10,1016,46,58,5,94,91,33,1100
LAS,2017-09-03,5,58,200,0.0,10,1015,61,59,5,96,92,33,1200
LAS,2017-09-03,5,57,200,0.0,10,1015,69,59,6,95,93,33,1300
LAS,2017-09-03,5,56,119,0.0,10,1014,77,60,6,95,93,33,1400
LAS,2017-09-03,5,55,119,0.0,10,1014,85,60,6,95,93,34,1500
LAS,2017-09-03,5,60,119,0.0,10,1013,75,58,6,95,93,31,1600
LAS,2017-09-03,5,65,113,0.0,10,1013,66,57,6,95,94,29,1700
LAS,2017-09-03,5,70,113,0.0,10,1012,57,55,6,96,95,27,1800
LAS,2017-09-03,5,107,113,0.0,10,1012,44,54,5,94,94,26,1900
LAS,2017-09-03,4,144,116,0.0,10,1012,31,52,5,93,93,26,2000
LAS,2017-09-03,4,181,116,0.0,10,1011,18,51,4,92,92,25,2100
