airport,date,windSpeedKmph,WindDirDegree,WeatherCode,precipMM,visibility,pressure,cloudcover,DewPointF,WindGustKmph,tempF,WindChillF,humidity,time
ORD,2017-09-01,14,72,113,0.0,10,1021,0,52,22,66,66,62,0
ORD,2017-09-01,15,77,113,0.0,10,1021,8,51,24,65,65,65,100
ORD,2017-09-01,16,81,113,0.0,10,1021,16,50,25,64,64,69,200
ORD,2017-09-01,17,86,113,0.0,10,1021,23,49,27,63,63,72,300
ORD,2017-09-01,17,86,113,0.0,10,1021,27,48,28,62,62,73,400
ORD,2017-09-01,18,87,116,0.0,10,1021,31,47,28,62,62,73,500
ORD,2017-09-01,18,87,116,0.0,10,1022,35,46,28,61,61,74,600
ORD,2017-09-01,18,88,116,0.0,10,1022,31,45,27,61,61,71,700
ORD,2017-09-01,18,89,116,0.0,10,1022,27,44,27,62,62,67,800
ORD,2017-09-01,19,90,116,0.0,10,1022,23,43,26,62,62,64,900
ORD,2017-09-01,18,89,116,0.0,10,1022,21,41,24,63,63,61,1000
ORD,2017-09-01,18,89,113,0.0,10,1021,19,40,23,65,65,57,1100
ORD,2017-09-01,18,89,113,0.0,10,1021,17,39,22,66,66,53,1200
ORD,2017-09-01,18,88,113,0.0,10,1021,14,39,21,67,67,52,1300
ORD,2017-09-01,17,87,113,0.0,10,1020,12,39,20,68,68,51,1400
ORD,2017-09-01,17,86,113,0.0,10,1020,10,38,19,69,69,50,1500
ORD,2017-09-01,16,84,113,0.0,10,1020,8,39,19,69,69,51,1600
ORD,2017-09-01,16,82,113,0.0,10,1019,6,40,19,69,69,52,1700
ORD,2017-09-01,15,80,113,0.0,10,1019,4,40,19,69,69,53,1800
ORD,2017-09-01,14,77,113,0.0,10,1019,3,43,16,66,66,56,1900
ORD,2017-09-01,12,74,113,0.0,10,1019,2,45,14,64,64,59,2000
ORD,2017-09-01,10,72,113,0.0,10,1019,1,47,12,62,62,62,2100
ORD,2017-09-01,9,78,113,0.0,10,1019,1,49,10,63,63,62,2200
ORD,2017-09-01,7,85,113,0.0,10,1019,0,50,8,65,65,63,2300
ORD,2017-09-02,5,92,113,0.0,10,1019,0,52,6,66,66,64,0
ORD,2017-09-02,5,101,113,0.0,10,1019,0,52,6,66,66,65,100
ORD,2017-09-02,4,110,113,0.0,10,1019,0,53,5,66,66,66,200
ORD,2017-09-02,4,119,113,0.0,10,1018,1,54,4,65,65,67,300
ORD,2017-09-02,3,136,113,0.0,10,1018,7,53,4,64,64,70,400
ORD,2017-09-02,3,154,113,0.0,10,1018,12,53,4,63,62,73,500
ORD,2017-09-02,3,172,113,0.0,10,1018,18,52,4,61,61,76,600
ORD,2017-09-02,2,195,113,0.0,10,1018,21,52,3,63,62,72,700
ORD,2017-09-02,2,219,116,0.0,10,1018,23,51,3,64,62,69,800
ORD,2017-09-02,2,243,116,0.0,10,1018,25,50,3,66,63,65,900
ORD,2017-09-02,3,251,116,0.0,10,1018,34,50,3,68,65,61,1000
ORD,2017-09-02,3,259,113,0.0,10,1017,43,50,4,69,66,57,1100
ORD,2017-09-02,4,267,113,0.0,10,1017,53,49,5,71,67,52,1200
ORD,2017-09-02,5,272,113,0.0,10,1017,64,49,6,70,67,53,1300
ORD,2017-09-02,6,276,119,0.0,10,1016,76,49,8,69,66,54,1400
ORD,2017-09-02,8,281,119,0.0,10,1016,88,49,9,67,66,54,1500
ORD,2017-09-02,8,284,119,0.2,10,1016,85,49,9,66,65,55,1600
ORD,2017-09-02,8,287,122,0.5,10,1015,82,48,9,65,64,57,1700
ORD,2017-09-02,8,289,122,0.7,10,1015,80,48,9,63,63,58,1800
ORD,2017-09-02,7,277,122,0.6,10,1015,83,50,9,65,65,58,1900
ORD,2017-09-02,6,265,353,0.6,10,1015,87,51,8,66,66,58,2000
ORD,2017-09-02,6,253,353,0.5,10,1015,90,52,8,67,67,59,2100
ORD,2017-09-02,6,254,353,0.4,10,1014,84,54,8,68,68,61,2200
ORD,2017-09-02,6,255,353,0.2,10,1014,79,55,9,68,68,63,2300
ORD,2017-09-03,7,257,353,0.1,9,1014,73,56,9,68,68,66,0
ORD,2017-09-03,7,264,353,0.1,9,1014,61,57,9,67,67,72,100
ORD,2017-09-03,8,272,116,0.0,10,1014,49,58,10,65,65,78,200
ORD,2017-09-03,8,280,116,0.0,10,1014,37,59,10,64,64,83,300
ORD,2017-09-03,9,283,116,0.0,10,1014,49,58,10,63,62,87,400
ORD,2017-09-03,9,286,116,0.0,10,1015,62,58,10,62,61,90,500
ORD,2017-09-03,9,288,116,0.0,10,1015,75,58,10,60,59,94,600
ORD,2017-09-03,9,289,116,0.0,10,1016,73,58,11,62,60,90,700
ORD,2017-09-03,10,289,143,0.0,10,1016,71,58,11,64,61,87,800
ORD,2017-09-03,10,289,143,0.0,10,1016,69,57,12,65,62,83,900
ORD,2017-09-03,11,290,143,0.0,10,1016,54,57,12,70,66,74,1000
ORD,2017-09-03,12,291,116,0.0,10,1016,39,57,13,74,70,65,1100
ORD,2017-09-03,13,292,116,0.0,10,1016,24,57,14,78,74,56,1200
ORD,2017-09-03,13,291,116,0.0,10,1015,34,56,15,80,77,50,1300
ORD,2017-09-03,13,289,113,0.0,10,1015,44,54,15,82,79,44,1400
ORD,2017-09-03,13,288,113,0.0,10,1015,54,53,15,84,81,38,1500
